{'5_flow_ch': '0.0', 'Number': 32744, '2_flow_ch': '0.34', '7_flow_ch': '0.0', '6_flow_ch': '0.0', '4_flow_ch': '0.0', '3_flow_ch': '0.0', '8_flow_ch': '0.0', 'time': '8-16-47-46', '1_flow_ch': '0.0'}
{'5_flow_ch': '0.0', 'Number': 32745, '2_flow_ch': '0.75', '7_flow_ch': '0.0', '6_flow_ch': '0.0', '4_flow_ch': '0.22', '3_flow_ch': '0.22', '8_flow_ch': '0.0', 'time': '8-16-47-46', '1_flow_ch': '0.0'}
{'5_flow_ch': '0.0', 'Number': 32746, '2_flow_ch': '0.34', '7_flow_ch': '0.0', '6_flow_ch': '0.0', '4_flow_ch': '0.0', '3_flow_ch': '0.0', '8_flow_ch': '0.0', 'time': '8-16-47-46', '1_flow_ch': '0.0'}
{'5_flow_ch': '0.0', 'Number': 32747, '2_flow_ch': '0.87', '7_flow_ch': '0.0', '6_flow_ch': '0.0', '4_flow_ch': '0.03', '3_flow_ch': '0.26', '8_flow_ch': '0.0', 'time': '8-16-47-46', '1_flow_ch': '0.03'}
{'5_flow_ch': '0.0', 'Number': 32748, '2_flow_ch': '0.56', '7_flow_ch': '0.0', '6_flow_ch': '0.0', '4_flow_ch': '0.0', '3_flow_ch': '0.0', '8_flow_ch': '0.0', 'time': '8-16-47-46', '1_flow_ch': '0.0'}
{'5_flow_ch': '0.0', 'Number': 32749, '2_flow_ch': '0.75', '7_flow_ch': '0.0', '6_flow_ch': '0.0', '4_flow_ch': '0.0', '3_flow_ch': '0.11', '8_flow_ch': '0.0', 'time': '8-16-47-46', '1_flow_ch': '0.03'}
{'5_flow_ch': '0.0', 'Number': 32750, '2_flow_ch': '0.60', '7_flow_ch': '0.0', '6_flow_ch': '0.0', '4_flow_ch': '0.0', '3_flow_ch': '0.0', '8_flow_ch': '0.0', 'time': '8-16-47-46', '1_flow_ch': '0.0'}
{'5_flow_ch': '0.0', 'Number': 32751, '2_flow_ch': '0.94', '7_flow_ch': '0.0', '6_flow_ch': '0.0', '4_flow_ch': '0.0', '3_flow_ch': '0.41', '8_flow_ch': '0.0', 'time': '8-16-47-46', '1_flow_ch': '0.15'}
{'5_flow_ch': '0.0', 'Number': 32752, '2_flow_ch': '0.64', '7_flow_ch': '0.0', '6_flow_ch': '0.0', '4_flow_ch': '0.0', '3_flow_ch': '0.0', '8_flow_ch': '0.0', 'time': '8-16-47-46', '1_flow_ch': '0.03'}
{'5_flow_ch': '0.0', 'Number': 32753, '2_flow_ch': '0.90', '7_flow_ch': '0.0', '6_flow_ch': '0.0', '4_flow_ch': '0.03', '3_flow_ch': '0.41', '8_flow_ch': '0.0', 'time': '8-16-47-46', '1_flow_ch': '0.0'}
