{'5_flow_ch': '0.0', '3_flow_ch': '0.75', '7_flow_ch': '0.0', '4_flow_ch': '0.45', '1_flow_ch': '0.0', '6_flow_ch': '0.0', 'Number': 23254, 'time': '8-16-13-25', '2_flow_ch': '0.49', '8_flow_ch': '0.0'}
{'5_flow_ch': '0.0', '3_flow_ch': '0.68', '7_flow_ch': '0.0', '4_flow_ch': '0.37', '1_flow_ch': '0.0', '6_flow_ch': '0.0', 'Number': 23255, 'time': '8-16-13-25', '2_flow_ch': '0.60', '8_flow_ch': '0.0'}
{'5_flow_ch': '0.0', '3_flow_ch': '0.45', '7_flow_ch': '0.0', '4_flow_ch': '0.07', '1_flow_ch': '0.0', '6_flow_ch': '0.0', 'Number': 23256, 'time': '8-16-13-25', '2_flow_ch': '0.45', '8_flow_ch': '0.0'}
{'5_flow_ch': '0.0', '3_flow_ch': '0.98', '7_flow_ch': '0.0', '4_flow_ch': '0.75', '1_flow_ch': '0.0', '6_flow_ch': '0.0', 'Number': 23257, 'time': '8-16-13-25', '2_flow_ch': '0.87', '8_flow_ch': '0.0'}
{'5_flow_ch': '0.0', '3_flow_ch': '0.37', '7_flow_ch': '0.0', '4_flow_ch': '0.18', '1_flow_ch': '0.0', '6_flow_ch': '0.0', 'Number': 23258, 'time': '8-16-13-25', '2_flow_ch': '0.34', '8_flow_ch': '0.0'}
{'5_flow_ch': '0.0', '3_flow_ch': '0.68', '7_flow_ch': '0.0', '4_flow_ch': '0.56', '1_flow_ch': '0.0', '6_flow_ch': '0.0', 'Number': 23259, 'time': '8-16-13-25', '2_flow_ch': '0.75', '8_flow_ch': '0.0'}
{'5_flow_ch': '0.0', '3_flow_ch': '0.37', '7_flow_ch': '0.0', '4_flow_ch': '0.15', '1_flow_ch': '0.0', '6_flow_ch': '0.0', 'Number': 23260, 'time': '8-16-13-25', '2_flow_ch': '0.68', '8_flow_ch': '0.0'}
{'5_flow_ch': '0.0', '3_flow_ch': '0.45', '7_flow_ch': '0.0', '4_flow_ch': '0.64', '1_flow_ch': '0.0', '6_flow_ch': '0.0', 'Number': 23261, 'time': '8-16-13-25', '2_flow_ch': '0.49', '8_flow_ch': '0.0'}
{'5_flow_ch': '0.0', '3_flow_ch': '0.26', '7_flow_ch': '0.0', '4_flow_ch': '0.0', '1_flow_ch': '0.0', '6_flow_ch': '0.0', 'Number': 23262, 'time': '8-16-13-25', '2_flow_ch': '0.60', '8_flow_ch': '0.0'}
{'5_flow_ch': '0.0', '3_flow_ch': '0.45', '7_flow_ch': '0.0', '4_flow_ch': '0.56', '1_flow_ch': '0.0', '6_flow_ch': '0.0', 'Number': 23263, 'time': '8-16-13-25', '2_flow_ch': '0.60', '8_flow_ch': '0.0'}
{'5_flow_ch': '0.0', '3_flow_ch': '0.37', '7_flow_ch': '0.0', '4_flow_ch': '0.49', '1_flow_ch': '0.0', '6_flow_ch': '0.0', 'Number': 23264, 'time': '8-16-13-25', '2_flow_ch': '0.79', '8_flow_ch': '0.0'}
{'5_flow_ch': '0.0', '3_flow_ch': '0.15', '7_flow_ch': '0.0', '4_flow_ch': '0.26', '1_flow_ch': '0.0', '6_flow_ch': '0.0', 'Number': 23265, 'time': '8-16-13-25', '2_flow_ch': '0.60', '8_flow_ch': '0.0'}
{'5_flow_ch': '0.0', '3_flow_ch': '0.45', '7_flow_ch': '0.0', '4_flow_ch': '0.75', '1_flow_ch': '0.15', '6_flow_ch': '0.0', 'Number': 23266, 'time': '8-16-13-25', '2_flow_ch': '0.94', '8_flow_ch': '0.0'}
{'5_flow_ch': '0.0', '3_flow_ch': '0.0', '7_flow_ch': '0.0', '4_flow_ch': '0.07', '1_flow_ch': '0.34', '6_flow_ch': '0.0', 'Number': 23267, 'time': '8-16-13-25', '2_flow_ch': '0.64', '8_flow_ch': '0.0'}
{'5_flow_ch': '0.0', '3_flow_ch': '0.45', '7_flow_ch': '0.0', '4_flow_ch': '0.87', '1_flow_ch': '0.15', '6_flow_ch': '0.0', 'Number': 23268, 'time': '8-16-13-25', '2_flow_ch': '0.90', '8_flow_ch': '0.0'}
{'5_flow_ch': '0.0', '3_flow_ch': '0.0', '7_flow_ch': '0.0', '4_flow_ch': '0.0', '1_flow_ch': '0.07', '6_flow_ch': '0.0', 'Number': 23269, 'time': '8-16-13-25', '2_flow_ch': '0.49', '8_flow_ch': '0.0'}
{'5_flow_ch': '0.0', '3_flow_ch': '0.45', '7_flow_ch': '0.0', '4_flow_ch': '0.79', '1_flow_ch': '0.34', '6_flow_ch': '0.0', 'Number': 23270, 'time': '8-16-13-25', '2_flow_ch': '1.06', '8_flow_ch': '0.0'}
{'5_flow_ch': '0.0', '3_flow_ch': '0.0', '7_flow_ch': '0.0', '4_flow_ch': '0.07', '1_flow_ch': '0.0', '6_flow_ch': '0.0', 'Number': 23271, 'time': '8-16-13-25', '2_flow_ch': '0.49', '8_flow_ch': '0.0'}
{'5_flow_ch': '0.0', '3_flow_ch': '0.30', '7_flow_ch': '0.0', '4_flow_ch': '0.68', '1_flow_ch': '0.26', '6_flow_ch': '0.0', 'Number': 23272, 'time': '8-16-13-25', '2_flow_ch': '0.98', '8_flow_ch': '0.0'}
{'5_flow_ch': '0.0', '3_flow_ch': '0.0', '7_flow_ch': '0.0', '4_flow_ch': '0.0', '1_flow_ch': '0.15', '6_flow_ch': '0.0', 'Number': 23273, 'time': '8-16-13-25', '2_flow_ch': '0.56', '8_flow_ch': '0.0'}
{'5_flow_ch': '0.0', '3_flow_ch': '0.07', '7_flow_ch': '0.0', '4_flow_ch': '0.60', '1_flow_ch': '0.22', '6_flow_ch': '0.0', 'Number': 23274, 'time': '8-16-13-25', '2_flow_ch': '0.83', '8_flow_ch': '0.0'}
{'5_flow_ch': '0.0', '3_flow_ch': '0.0', '7_flow_ch': '0.0', '4_flow_ch': '0.15', '1_flow_ch': '0.37', '6_flow_ch': '0.0', 'Number': 23275, 'time': '8-16-13-25', '2_flow_ch': '0.79', '8_flow_ch': '0.0'}
{'5_flow_ch': '0.0', '3_flow_ch': '0.0', '7_flow_ch': '0.0', '4_flow_ch': '0.49', '1_flow_ch': '0.18', '6_flow_ch': '0.0', 'Number': 23276, 'time': '8-16-13-25', '2_flow_ch': '0.68', '8_flow_ch': '0.0'}
{'5_flow_ch': '0.0', '3_flow_ch': '0.0', '7_flow_ch': '0.0', '4_flow_ch': '0.30', '1_flow_ch': '0.37', '6_flow_ch': '0.0', 'Number': 23277, 'time': '8-16-13-25', '2_flow_ch': '0.75', '8_flow_ch': '0.0'}
{'5_flow_ch': '0.0', '3_flow_ch': '0.0', '7_flow_ch': '0.0', '4_flow_ch': '0.18', '1_flow_ch': '0.18', '6_flow_ch': '0.0', 'Number': 23278, 'time': '8-16-13-25', '2_flow_ch': '0.60', '8_flow_ch': '0.0'}
{'5_flow_ch': '0.0', '3_flow_ch': '0.07', '7_flow_ch': '0.0', '4_flow_ch': '0.53', '1_flow_ch': '0.49', '6_flow_ch': '0.0', 'Number': 23279, 'time': '8-16-13-25', '2_flow_ch': '0.98', '8_flow_ch': '0.0'}
{'5_flow_ch': '0.0', '3_flow_ch': '0.0', '7_flow_ch': '0.0', '4_flow_ch': '0.18', '1_flow_ch': '0.45', '6_flow_ch': '0.0', 'Number': 23280, 'time': '8-16-13-25', '2_flow_ch': '0.75', '8_flow_ch': '0.0'}
{'5_flow_ch': '0.0', '3_flow_ch': '0.18', '7_flow_ch': '0.0', '4_flow_ch': '0.75', '1_flow_ch': '0.34', '6_flow_ch': '0.0', 'Number': 23281, 'time': '8-16-13-25', '2_flow_ch': '0.79', '8_flow_ch': '0.0'}
{'5_flow_ch': '0.0', '3_flow_ch': '0.30', '7_flow_ch': '0.0', '4_flow_ch': '0.71', '1_flow_ch': '0.41', '6_flow_ch': '0.0', 'Number': 23282, 'time': '8-16-13-25', '2_flow_ch': '0.90', '8_flow_ch': '0.0'}
{'5_flow_ch': '0.0', '3_flow_ch': '0.0', '7_flow_ch': '0.0', '4_flow_ch': '0.22', '1_flow_ch': '0.22', '6_flow_ch': '0.0', 'Number': 23283, 'time': '8-16-13-25', '2_flow_ch': '0.49', '8_flow_ch': '0.0'}
{'5_flow_ch': '0.0', '3_flow_ch': '0.18', '7_flow_ch': '0.0', '4_flow_ch': '0.64', '1_flow_ch': '0.37', '6_flow_ch': '0.0', 'Number': 23284, 'time': '8-16-13-25', '2_flow_ch': '0.79', '8_flow_ch': '0.0'}
{'5_flow_ch': '0.0', '3_flow_ch': '0.07', '7_flow_ch': '0.0', '4_flow_ch': '0.22', '1_flow_ch': '0.60', '6_flow_ch': '0.0', 'Number': 23285, 'time': '8-16-13-25', '2_flow_ch': '0.71', '8_flow_ch': '0.0'}
{'5_flow_ch': '0.0', '3_flow_ch': '0.07', '7_flow_ch': '0.0', '4_flow_ch': '0.49', '1_flow_ch': '0.45', '6_flow_ch': '0.0', 'Number': 23286, 'time': '8-16-13-25', '2_flow_ch': '0.68', '8_flow_ch': '0.0'}
{'5_flow_ch': '0.0', '3_flow_ch': '0.49', '7_flow_ch': '0.0', '4_flow_ch': '0.75', '1_flow_ch': '0.68', '6_flow_ch': '0.0', 'Number': 23287, 'time': '8-16-13-25', '2_flow_ch': '0.98', '8_flow_ch': '0.0'}
{'5_flow_ch': '0.0', '3_flow_ch': '0.07', '7_flow_ch': '0.0', '4_flow_ch': '0.37', '1_flow_ch': '0.45', '6_flow_ch': '0.0', 'Number': 23288, 'time': '8-16-13-25', '2_flow_ch': '0.56', '8_flow_ch': '0.0'}
{'5_flow_ch': '0.0', '3_flow_ch': '0.56', '7_flow_ch': '0.0', '4_flow_ch': '0.94', '1_flow_ch': '0.49', '6_flow_ch': '0.0', 'Number': 23289, 'time': '8-16-13-25', '2_flow_ch': '1.17', '8_flow_ch': '0.0'}
{'5_flow_ch': '0.0', '3_flow_ch': '0.18', '7_flow_ch': '0.0', '4_flow_ch': '0.30', '1_flow_ch': '0.49', '6_flow_ch': '0.0', 'Number': 23290, 'time': '8-16-13-25', '2_flow_ch': '0.60', '8_flow_ch': '0.0'}
{'5_flow_ch': '0.0', '3_flow_ch': '0.30', '7_flow_ch': '0.0', '4_flow_ch': '0.64', '1_flow_ch': '0.45', '6_flow_ch': '0.0', 'Number': 23291, 'time': '8-16-13-25', '2_flow_ch': '0.53', '8_flow_ch': '0.0'}
{'5_flow_ch': '0.0', '3_flow_ch': '0.30', '7_flow_ch': '0.0', '4_flow_ch': '0.49', '1_flow_ch': '0.68', '6_flow_ch': '0.0', 'Number': 23292, 'time': '8-16-13-25', '2_flow_ch': '0.68', '8_flow_ch': '0.0'}
{'5_flow_ch': '0.0', '3_flow_ch': '0.45', '7_flow_ch': '0.0', '4_flow_ch': '0.18', '1_flow_ch': '0.45', '6_flow_ch': '0.0', 'Number': 23293, 'time': '8-16-13-25', '2_flow_ch': '0.30', '8_flow_ch': '0.0'}
{'5_flow_ch': '0.0', '3_flow_ch': '0.49', '7_flow_ch': '0.0', '4_flow_ch': '0.56', '1_flow_ch': '0.75', '6_flow_ch': '0.0', 'Number': 23294, 'time': '8-16-13-25', '2_flow_ch': '0.75', '8_flow_ch': '0.0'}
{'5_flow_ch': '0.0', '3_flow_ch': '0.11', '7_flow_ch': '0.0', '4_flow_ch': '0.07', '1_flow_ch': '0.60', '6_flow_ch': '0.0', 'Number': 23295, 'time': '8-16-13-25', '2_flow_ch': '0.49', '8_flow_ch': '0.0'}
{'5_flow_ch': '0.0', '3_flow_ch': '0.56', '7_flow_ch': '0.0', '4_flow_ch': '0.64', '1_flow_ch': '0.64', '6_flow_ch': '0.0', 'Number': 23296, 'time': '8-16-13-25', '2_flow_ch': '0.64', '8_flow_ch': '0.0'}
{'5_flow_ch': '0.0', '3_flow_ch': '0.49', '7_flow_ch': '0.0', '4_flow_ch': '0.37', '1_flow_ch': '0.71', '6_flow_ch': '0.0', 'Number': 23297, 'time': '8-16-13-25', '2_flow_ch': '0.60', '8_flow_ch': '0.0'}
{'5_flow_ch': '0.0', '3_flow_ch': '0.37', '7_flow_ch': '0.0', '4_flow_ch': '0.45', '1_flow_ch': '0.56', '6_flow_ch': '0.0', 'Number': 23298, 'time': '8-16-13-25', '2_flow_ch': '0.37', '8_flow_ch': '0.0'}
{'5_flow_ch': '0.0', '3_flow_ch': '0.75', '7_flow_ch': '0.0', '4_flow_ch': '0.87', '1_flow_ch': '0.64', '6_flow_ch': '0.0', 'Number': 23299, 'time': '8-16-13-25', '2_flow_ch': '0.64', '8_flow_ch': '0.0'}
{'5_flow_ch': '0.0', '3_flow_ch': '0.30', '7_flow_ch': '0.0', '4_flow_ch': '0.30', '1_flow_ch': '0.45', '6_flow_ch': '0.0', 'Number': 23300, 'time': '8-16-13-25', '2_flow_ch': '0.18', '8_flow_ch': '0.0'}
{'5_flow_ch': '0.0', '3_flow_ch': '0.68', '7_flow_ch': '0.0', '4_flow_ch': '0.75', '1_flow_ch': '0.64', '6_flow_ch': '0.0', 'Number': 23301, 'time': '8-16-13-25', '2_flow_ch': '0.45', '8_flow_ch': '0.0'}
{'5_flow_ch': '0.0', '3_flow_ch': '0.26', '7_flow_ch': '0.0', '4_flow_ch': '0.07', '1_flow_ch': '0.49', '6_flow_ch': '0.0', 'Number': 23302, 'time': '8-16-13-25', '2_flow_ch': '0.07', '8_flow_ch': '0.0'}
{'5_flow_ch': '0.0', '3_flow_ch': '0.68', '7_flow_ch': '0.0', '4_flow_ch': '0.64', '1_flow_ch': '0.64', '6_flow_ch': '0.0', 'Number': 23303, 'time': '8-16-13-25', '2_flow_ch': '0.34', '8_flow_ch': '0.0'}
{'5_flow_ch': '0.0', '3_flow_ch': '0.37', '7_flow_ch': '0.0', '4_flow_ch': '0.0', '1_flow_ch': '0.60', '6_flow_ch': '0.0', 'Number': 23304, 'time': '8-16-13-25', '2_flow_ch': '0.0', '8_flow_ch': '0.0'}
